"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 01 10:50:33 UTC 2024","Tue Oct 01 10:50:34 UTC 2024","679","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","testDeleteAuthorWithInvalidIdFormat","Delete author with invalidIDFormat",""
"failed","Tue Oct 01 10:51:00 UTC 2024","Tue Oct 01 10:51:00 UTC 2024","633","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testUpdateBookWithPageCount","Update Book with different page count values",""
"passed","Tue Oct 01 10:50:46 UTC 2024","Tue Oct 01 10:50:47 UTC 2024","635","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testCreateBookWithPageCount","Create a Book with different values for page count",""
"passed","Tue Oct 01 10:50:50 UTC 2024","Tue Oct 01 10:50:51 UTC 2024","682","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testDeleteBookInvalidDataTypeID","Delete Book with invalid Data type ID",""
"passed","Tue Oct 01 10:50:38 UTC 2024","Tue Oct 01 10:50:38 UTC 2024","608","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","updateAuthor","Update Author with valid data",""
"passed","Tue Oct 01 10:51:02 UTC 2024","Tue Oct 01 10:51:03 UTC 2024","650","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testUpdateBookWithPageCount","Update Book with different page count values",""
"passed","Tue Oct 01 10:50:42 UTC 2024","Tue Oct 01 10:50:43 UTC 2024","638","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testCreateBookWithPageCount","Create a Book with different values for page count",""
"passed","Tue Oct 01 10:50:37 UTC 2024","Tue Oct 01 10:50:38 UTC 2024","657","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","testGetAuthorByInvalidIdDataType","Get an author by Invalid DataType Id",""
"passed","Tue Oct 01 10:50:56 UTC 2024","Tue Oct 01 10:50:57 UTC 2024","622","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testUpdateBookInvalidDataTypeID","Update Book with invalid Data type ID",""
"passed","Tue Oct 01 10:50:58 UTC 2024","Tue Oct 01 10:50:59 UTC 2024","633","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testUpdateBookWithPageCount","Update Book with different page count values",""
"passed","Tue Oct 01 10:50:38 UTC 2024","Tue Oct 01 10:50:39 UTC 2024","681","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","updateAuthorInvalidDataType","Update Author with invalid data type  ",""
"passed","Tue Oct 01 10:50:32 UTC 2024","Tue Oct 01 10:50:33 UTC 2024","721","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","testCreateAuthorWithInvalidDataType","Create an Author with invalid data type",""
"failed","Tue Oct 01 10:50:49 UTC 2024","Tue Oct 01 10:50:50 UTC 2024","1418","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testDeleteBookByID","Delete book by ID",""
"passed","Tue Oct 01 10:50:42 UTC 2024","Tue Oct 01 10:50:42 UTC 2024","622","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testCreateBookWithPageCount","Create a Book with different values for page count",""
"passed","Tue Oct 01 10:51:02 UTC 2024","Tue Oct 01 10:51:02 UTC 2024","652","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testUpdateBookWithPageCount","Update Book with different page count values",""
